stepno=  115, timepoints=3.711000e+03, conv=0, iters=45, x=1.771825e+00 -8.228177e+00 -1.107058e+00 1.464508e+00 1.464508e+00 3.704864e-01 3.704864e-01 1.388141e+00 1.388141e+00 1.045698e+01 8.929416e-01 1.069226e+01 1.200001e+01 1.200001e+01 -3.019629e-03 -2.960809e-03 -7.121119e-04 3.266438e-04 
stepno=  116, timepoints=3.839000e+03, conv=1, iters=50, x=
stepno=  117, timepoints=3.775000e+03, conv=0, iters=45, x=1.771825e+00 -8.228177e+00 -1.106995e+00 1.464508e+00 1.464507e+00 3.703605e-01 3.703604e-01 1.388141e+00 1.388141e+00 1.045714e+01 8.930046e-01 1.069242e+01 1.200001e+01 1.200001e+01 -3.019590e-03 -2.960769e-03 -7.121182e-04 3.266470e-04 
stepno=  118, timepoints=3.903000e+03, conv=1, iters=50, x=
stepno=  119, timepoints=3.839000e+03, conv=0, iters=45, x=1.771824e+00 -8.228177e+00 -1.106941e+00 1.464507e+00 1.464507e+00 3.702444e-01 3.702443e-01 1.388140e+00 1.388140e+00 1.045727e+01 8.930583e-01 1.069255e+01 1.200001e+01 1.200001e+01 -3.019557e-03 -2.960735e-03 -7.121236e-04 3.266497e-04 
stepno=  120, timepoints=3.967000e+03, conv=1, iters=50, x=
stepno=  121, timepoints=3.903000e+03, conv=0, iters=45, x=1.771824e+00 -8.228178e+00 -1.106896e+00 1.464506e+00 1.464506e+00 3.701373e-01 3.701372e-01 1.388140e+00 1.388140e+00 1.045739e+01 8.931040e-01 1.069267e+01 1.200001e+01 1.200001e+01 -3.019529e-03 -2.960707e-03 -7.121282e-04 3.266521e-04 
stepno=  122, timepoints=4.031000e+03, conv=1, iters=50, x=
stepno=  123, timepoints=3.967000e+03, conv=0, iters=45, x=1.771824e+00 -8.228178e+00 -1.106857e+00 1.464505e+00 1.464505e+00 3.700386e-01 3.700385e-01 1.388140e+00 1.388140e+00 1.045749e+01 8.931428e-01 1.069277e+01 1.200001e+01 1.200001e+01 -3.019505e-03 -2.960682e-03 -7.121321e-04 3.266541e-04 
stepno=  124, timepoints=4.095000e+03, conv=1, iters=50, x=
stepno=  125, timepoints=4.031000e+03, conv=0, iters=45, x=1.771823e+00 -8.228179e+00 -1.106824e+00 1.464504e+00 1.464504e+00 3.699475e-01 3.699475e-01 1.388139e+00 1.388139e+00 1.045757e+01 8.931759e-01 1.069285e+01 1.200001e+01 1.200001e+01 -3.019484e-03 -2.960661e-03 -7.121355e-04 3.266558e-04 
