stepno=    1, timepoints=1.000000e+00, conv=0, iters= 2, x=2.711089e-15 6.615951e-02 9.900990e-02 6.609276e-05 1.980198e-02 1.000000e+01 -1.851959e-02 
stepno=  173, timepoints=5.503000e+03, conv=0, iters=34, x=6.682062e-01 7.397965e-01 1.000001e+01 7.302095e-01 1.490453e+00 1.000001e+01 -7.875389e-03 
stepno=  174, timepoints=5.631000e+03, conv=1, iters=50, x=
stepno=  175, timepoints=5.567000e+03, conv=0, iters=34, x=6.682074e-01 7.397978e-01 1.000001e+01 7.303469e-01 1.490454e+00 1.000001e+01 -7.875387e-03 
stepno=  176, timepoints=5.695000e+03, conv=1, iters=50, x=
stepno=  177, timepoints=5.631000e+03, conv=0, iters=34, x=6.682085e-01 7.397991e-01 1.000001e+01 7.304761e-01 1.490455e+00 1.000001e+01 -7.875386e-03 
stepno=  178, timepoints=5.759000e+03, conv=1, iters=50, x=
stepno=  179, timepoints=5.695000e+03, conv=0, iters=34, x=6.682096e-01 7.398002e-01 1.000001e+01 7.305975e-01 1.490456e+00 1.000001e+01 -7.875385e-03 
stepno=  180, timepoints=5.823000e+03, conv=1, iters=50, x=
stepno=  181, timepoints=5.759000e+03, conv=0, iters=34, x=6.682105e-01 7.398013e-01 1.000001e+01 7.307116e-01 1.490457e+00 1.000001e+01 -7.875384e-03 
stepno=  182, timepoints=5.887000e+03, conv=1, iters=50, x=
stepno=  183, timepoints=5.823000e+03, conv=0, iters=34, x=6.682115e-01 7.398023e-01 1.000001e+01 7.308188e-01 1.490458e+00 1.000001e+01 -7.875384e-03 
stepno=  184, timepoints=5.951000e+03, conv=1, iters=50, x=
stepno=  185, timepoints=5.887000e+03, conv=0, iters=34, x=6.682123e-01 7.398033e-01 1.000001e+01 7.309196e-01 1.490459e+00 1.000001e+01 -7.875383e-03 
stepno=  186, timepoints=6.015000e+03, conv=1, iters=50, x=
stepno=  187, timepoints=5.951000e+03, conv=0, iters=34, x=6.682132e-01 7.398042e-01 1.000001e+01 7.310143e-01 1.490460e+00 1.000001e+01 -7.875382e-03 
